metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# proteins	
4441681.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichoic and lipoteichoic acids biosynthesis	Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)	4	-4.75	72.00	30.50	4	
4441680.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichoic and lipoteichoic acids biosynthesis	galactosamine-containing minor teichoic acid biosynthesis protein	1	-4.00	64.71	34.00	1	
4441679.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichoic and lipoteichoic acids biosynthesis	galactosamine-containing minor teichoic acid biosynthesis protein	1	-3.00	70.00	30.00	1	
4441681.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichoic and lipoteichoic acids biosynthesis	ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40)	1	-3.00	60.61	33.00	1	
4441682.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichuronic acid biosynthesis	Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	2	-3.00	70.20	28.50	2	
4441679.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichuronic acid biosynthesis	Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	2	-5.00	70.50	32.50	2	
4441681.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichuronic acid biosynthesis	Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	1	-4.00	60.61	33.00	1	
4441682.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichuronic acid biosynthesis	UDP-glucose dehydrogenase (EC 1.1.1.22)	59	-6.92	81.86	31.35	42	
4441680.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichuronic acid biosynthesis	UDP-glucose dehydrogenase (EC 1.1.1.22)	35	-7.03	82.52	31.00	28	
4441679.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichuronic acid biosynthesis	UDP-glucose dehydrogenase (EC 1.1.1.22)	59	-6.89	83.14	30.51	39	
4441681.3	Cell Wall and Capsule	Gram-Positive cell wall components	Teichuronic acid biosynthesis	UDP-glucose dehydrogenase (EC 1.1.1.22)	153	-7.13	82.48	31.54	55	
4441682.3	Cell Wall and Capsule	Murein Hydrolases	-	Beta N-acetyl-glucosaminidase (EC 3.2.1.52)	2	-3.50	71.93	26.50	2	
4441681.3	Cell Wall and Capsule	Murein Hydrolases	-	Beta N-acetyl-glucosaminidase (EC 3.2.1.52)	61	-5.60	78.39	30.02	13	
4441682.3	Cell Wall and Capsule	Murein Hydrolases	-	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	28	-4.29	69.74	29.89	28	
4441680.3	Cell Wall and Capsule	Murein Hydrolases	-	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	20	-4.85	70.20	30.15	18	
4441679.3	Cell Wall and Capsule	Murein Hydrolases	-	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	28	-4.70	74.81	28.67	22	
4441681.3	Cell Wall and Capsule	Murein Hydrolases	-	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	129	-6.15	80.65	30.28	32	
4441680.3	Cell Wall and Capsule	Murein Hydrolases	-	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	2	-9.00	90.08	31.00	2	
4441679.3	Cell Wall and Capsule	Murein Hydrolases	-	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	7	-7.57	76.07	33.43	7	
4441681.3	Cell Wall and Capsule	Murein Hydrolases	-	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	175	-7.17	83.04	31.32	22	
4441682.3	Cell Wall and Capsule	Murein Hydrolases	-	Membrane-bound lytic murein transglycosylase C precursor (EC 3.2.1.-)	1	-3.00	63.64	33.00	1	
4441682.3	Cell Wall and Capsule	Murein Hydrolases	-	Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	4	-3.75	75.05	27.00	4	
4441680.3	Cell Wall and Capsule	Murein Hydrolases	-	Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	6	-5.00	70.98	32.67	6	
4441679.3	Cell Wall and Capsule	Murein Hydrolases	-	Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	5	-5.80	77.00	31.60	5	
4441681.3	Cell Wall and Capsule	Murein Hydrolases	-	Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	130	-7.41	86.62	31.46	6	
4441682.3	Cell Wall and Capsule	Murein Hydrolases	-	Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	5	-6.17	75.35	30.83	5	
4441680.3	Cell Wall and Capsule	Murein Hydrolases	-	Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	5	-3.00	61.28	29.40	5	
4441679.3	Cell Wall and Capsule	Murein Hydrolases	-	Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	8	-4.62	68.84	31.38	7	
4441681.3	Cell Wall and Capsule	Murein Hydrolases	-	Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	45	-6.39	80.37	30.92	8	
4441682.3	Cell Wall and Capsule	Murein Hydrolases	-	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	8	-4.62	75.44	28.62	8	
4441680.3	Cell Wall and Capsule	Murein Hydrolases	-	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	6	-7.17	79.50	31.67	4	
4441679.3	Cell Wall and Capsule	Murein Hydrolases	-	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	10	-4.90	71.81	31.00	10	
4441681.3	Cell Wall and Capsule	Murein Hydrolases	-	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	67	-5.85	78.14	29.40	16	
4441680.3	Cell Wall and Capsule	Murein Hydrolases	-	Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)	5	-5.40	80.53	29.00	4	
4441679.3	Cell Wall and Capsule	Murein Hydrolases	-	Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)	6	-8.00	88.23	31.50	2	
4441681.3	Cell Wall and Capsule	Murein Hydrolases	-	Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)	132	-6.78	83.95	30.16	5	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	14	-4.29	68.86	30.07	14	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	7	-5.14	71.16	30.43	7	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	24	-6.14	78.30	31.14	17	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	227	-7.52	84.09	31.75	31	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanine--D-alanine ligase (EC 6.3.2.4)	10	-5.50	72.03	31.00	10	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanine--D-alanine ligase (EC 6.3.2.4)	8	-4.12	67.89	30.62	8	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanine--D-alanine ligase (EC 6.3.2.4)	19	-4.68	75.13	29.37	17	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanine--D-alanine ligase (EC 6.3.2.4)	76	-6.67	82.70	29.96	19	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanine--D-alanine ligase B (EC 6.3.2.4)	1	-6.00	71.88	32.00	1	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanine--D-alanine ligase B (EC 6.3.2.4)	10	-7.57	86.38	30.71	2	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	28	-4.29	69.74	29.89	28	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	20	-4.85	70.20	30.15	18	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	28	-4.70	74.81	28.67	22	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	129	-6.15	80.65	30.28	32	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	10	-4.00	73.10	28.30	10	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	8	-6.88	77.79	31.50	5	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	9	-6.50	76.19	32.00	7	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	114	-6.42	81.40	30.80	30	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamate racemase (EC 5.1.1.3)	7	-3.29	66.26	28.57	7	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamate racemase (EC 5.1.1.3)	10	-4.62	68.05	29.62	7	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamate racemase (EC 5.1.1.3)	10	-5.67	72.66	32.00	9	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamate racemase (EC 5.1.1.3)	46	-5.94	76.53	31.66	10	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase type I (EC 6.3.1.2)	35	-6.19	76.43	30.94	27	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase type I (EC 6.3.1.2)	32	-6.39	78.01	31.13	26	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase type I (EC 6.3.1.2)	55	-5.75	76.50	29.98	35	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase type I (EC 6.3.1.2)	111	-7.75	84.58	31.14	32	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase type III, GlnN (EC 6.3.1.2)	73	-7.28	79.70	31.97	27	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase type III, GlnN (EC 6.3.1.2)	59	-7.14	81.29	31.00	27	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase type III, GlnN (EC 6.3.1.2)	73	-6.59	79.65	30.79	30	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase type III, GlnN (EC 6.3.1.2)	36	-6.88	78.72	31.65	21	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase, clostridia type (EC 6.3.1.2)	4	-5.25	73.25	30.25	3	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase, clostridia type (EC 6.3.1.2)	1	-3.00	65.52	29.00	1	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase, clostridia type (EC 6.3.1.2)	3	-4.67	75.36	29.00	3	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Glutamine synthetase, clostridia type (EC 6.3.1.2)	1	-4.00	71.43	28.00	1	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	2	-9.00	90.08	31.00	2	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	7	-7.57	76.07	33.43	7	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	175	-7.17	83.04	31.32	22	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	10	-6.00	77.04	30.40	5	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	17	-5.50	77.06	29.75	8	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	9	-5.89	77.52	29.89	6	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	32	-6.52	82.21	30.83	10	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	25	-3.88	66.76	31.12	25	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	19	-4.42	70.62	30.84	18	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	29	-5.35	76.31	29.96	22	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	273	-6.90	81.68	31.32	44	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Murein-DD-endopeptidase (EC 3.4.99.-)	1	-7.00	77.14	35.00	1	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Murein-DD-endopeptidase (EC 3.4.99.-)	1	-12.00	94.44	36.00	1	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Murein-DD-endopeptidase (EC 3.4.99.-)	31	-7.60	86.10	31.92	6	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	10	-4.00	73.10	28.30	10	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	3	-6.67	78.01	30.33	3	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	7	-6.50	77.38	31.17	5	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	108	-6.41	81.08	30.91	28	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)	4	-3.00	71.77	26.25	4	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)	2	-3.00	74.17	27.00	2	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)	2	-3.50	69.19	30.00	2	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)	2	-6.50	74.77	32.50	2	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Penicillin-binding protein 2 (PBP-2)	10	-3.82	69.04	29.27	8	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Penicillin-binding protein 2 (PBP-2)	12	-4.91	74.65	29.27	7	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Penicillin-binding protein 2 (PBP-2)	13	-4.31	71.20	29.54	10	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Penicillin-binding protein 2 (PBP-2)	13	-4.64	68.28	30.91	10	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C	1	-3.00	55.88	34.00	1	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C	1	-4.00	75.00	32.00	1	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	17	-5.12	77.47	28.50	15	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	10	-4.70	79.35	28.10	8	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	18	-5.61	81.42	28.94	14	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	80	-7.79	82.94	32.55	23	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Rare lipoprotein A precursor	1	-3.00	68.97	29.00	1	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Rare lipoprotein A precursor	20	-8.88	85.93	34.15	8	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Rod shape-determining protein RodA	6	-5.71	76.68	29.00	6	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Rod shape-determining protein RodA	2	-9.00	96.30	30.00	2	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Rod shape-determining protein RodA	4	-5.50	73.03	32.25	4	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	Rod shape-determining protein RodA	29	-7.00	84.02	31.12	11	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	21	-4.74	73.28	30.42	16	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	9	-4.67	71.00	32.11	9	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	16	-4.31	72.79	30.50	13	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	49	-5.76	76.43	30.93	21	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	49	-5.20	76.45	30.28	38	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	43	-5.28	75.57	30.74	33	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	51	-5.14	76.41	30.47	37	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	107	-6.64	82.34	31.11	47	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	29	-5.32	71.02	32.43	19	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	19	-5.22	74.71	30.50	15	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	23	-4.14	73.88	28.33	15	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	104	-5.99	80.87	29.97	31	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	20	-4.65	71.85	29.70	18	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	20	-4.53	74.19	30.05	17	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	26	-4.84	73.16	30.32	21	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	105	-6.24	82.31	30.41	28	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	21	-4.90	73.76	30.43	15	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	17	-4.75	73.20	30.38	16	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	24	-5.18	75.03	30.73	20	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	99	-5.70	79.65	30.71	26	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	36	-4.91	71.77	30.21	29	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	20	-5.11	73.66	30.63	18	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	43	-4.82	74.07	29.51	33	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	85	-5.90	84.54	29.27	22	
4441682.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	18	-4.94	73.45	30.71	17	
4441680.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	11	-5.50	77.77	29.38	8	
4441679.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	26	-4.62	73.40	29.92	18	
4441681.3	Cell Wall and Capsule	Peptidoglycan Biosynthesis	-	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	85	-6.12	82.83	30.20	21	
4441682.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	D-alanine--D-alanine ligase (EC 6.3.2.4)	10	-5.50	72.03	31.00	10	
4441680.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	D-alanine--D-alanine ligase (EC 6.3.2.4)	8	-4.12	67.89	30.62	8	
4441679.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	D-alanine--D-alanine ligase (EC 6.3.2.4)	19	-4.68	75.13	29.37	17	
4441681.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	D-alanine--D-alanine ligase (EC 6.3.2.4)	76	-6.67	82.70	29.96	19	
4441679.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	D-alanine--D-alanine ligase B (EC 6.3.2.4)	1	-6.00	71.88	32.00	1	
4441681.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	D-alanine--D-alanine ligase B (EC 6.3.2.4)	10	-7.57	86.38	30.71	2	
4441682.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	20	-4.65	71.85	29.70	18	
4441680.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	20	-4.53	74.19	30.05	17	
4441679.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	26	-4.84	73.16	30.32	21	
4441681.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	105	-6.24	82.31	30.41	28	
4441682.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	2	-5.50	79.33	27.50	2	
4441680.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	1	-6.00	78.12	32.00	1	
4441679.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	2	-7.50	89.75	29.50	2	
4441681.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	109	-6.70	86.29	29.28	14	
4441682.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	21	-4.90	73.76	30.43	15	
4441680.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	17	-4.75	73.20	30.38	16	
4441679.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	24	-5.18	75.03	30.73	20	
4441681.3	Cell Wall and Capsule	Peptidoglycan biosynthesis--gjo	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	99	-5.70	79.65	30.71	26	
